,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,108,Leicester City,11,10,8,1,12,13,15,4,4,4,3,1,5,3,7,6
0,222,Leeds United,15,7,9,4,10,11,9,3,7,1,6,4,2,2,4,2
0,220,Ipswich Town,9,12,11,5,6,9,16,6,13,7,5,1,9,3,4,7
0,146,Southampton,11,10,11,1,10,9,10,11,7,4,9,2,9,8,5,3
0,142,West Bromwich Albion,9,10,5,0,12,11,8,2,5,7,5,0,3,7,6,3
0,159,Norwich City,8,12,8,3,14,5,12,4,4,9,14,2,8,4,8,5
0,150,Hull City,9,10,8,1,6,10,6,3,7,6,6,3,4,9,7,4
0,239,Coventry City,3,8,8,1,8,15,10,6,6,3,11,1,5,6,8,3
0,161,Cardiff City,5,6,8,1,5,5,7,6,4,4,11,1,13,3,10,3
0,210,Preston North End,7,6,12,0,11,7,5,0,5,7,9,1,10,6,10,6
0,147,Middlesbrough,4,5,10,0,12,8,9,4,6,8,12,1,9,8,5,3
0,156,Sunderland,6,5,9,2,7,7,11,1,5,9,7,2,7,8,7,0
0,207,Bristol City,4,7,4,4,8,5,8,2,2,7,7,1,9,4,8,5
0,155,Watford,9,5,7,1,12,5,8,5,10,11,6,1,4,8,10,1
0,229,Millwall,10,3,5,1,6,1,4,6,6,8,7,1,8,4,8,6
0,154,Swansea City,8,10,6,0,6,5,6,5,8,8,8,1,7,16,7,3
0,264,Plymouth Argyle,5,9,11,4,6,6,8,5,10,6,6,2,14,12,6,5
0,216,Blackburn Rovers,11,7,5,1,14,9,2,2,7,15,6,1,6,9,16,4
0,141,Stoke City,5,2,9,3,5,6,5,0,9,6,11,0,6,7,6,5
0,160,Queens Park Rangers,2,3,8,1,4,7,8,3,6,9,5,2,9,11,6,2
0,206,Birmingham City,7,3,5,4,6,5,8,4,7,7,6,1,14,5,11,6
0,217,Huddersfield Town,3,6,6,2,4,11,5,5,9,5,8,2,13,11,7,6
0,214,Sheffield Wednesday,3,3,8,0,5,3,3,5,6,4,9,4,8,12,11,1
0,212,Rotherham United,4,5,2,1,8,4,3,3,15,9,6,6,15,11,9,6
