,id,seasonGoals_home,seasonGoals_away,seasonConceded_away,seasonConceded_home,seasonGoals,points,seasonConceded,seasonGoalDifference,seasonWins_home,seasonWins_away,seasonWins_overall,seasonDraws_home,seasonDraws_away,seasonDraws_overall,seasonLosses_away,seasonLosses_overall,seasonLosses_home,matchesPlayed,name,country,cleanName,shortHand,url,seasonURL_overall,seasonURL_home,seasonURL_away,position,zone,corrections,wdl_record
0,108,35,39,20,13,74,82,33,41,13,13,26,1,3,4,3,7,4,37,Leicester City FC,,Leicester City,leicester-city-fc,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,/clubs/leicester-city-fc-108,1,"{'name': 'Promotion', 'number': 1}",0,wwwwlwwwwwwwwwllwdwwwwwdwwldwwwwlllwd
1,222,39,29,16,12,68,79,28,40,14,10,24,4,3,7,6,6,0,37,Leeds United FC,,Leeds United,leeds-united-fc,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,/clubs/leeds-united-fc-222,2,"{'name': 'Promotion', 'number': 1}",0,dldwdwdwlwwwlwwwdwwwldwllwwwwwwwwwdww
2,220,47,27,20,29,74,78,49,25,13,10,23,4,5,9,4,5,1,37,Ipswich Town FC,,Ipswich Town,ipswich-town-fc,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,/clubs/ipswich-town-fc-220,3,"{'name': 'Promotion Play-off', 'number': 2}",0,wwwlwwwwdwwwwddwlwwwwdldddwdldwwwwwwl
3,146,45,28,23,24,73,73,47,26,12,10,22,2,5,7,3,7,4,36,Southampton FC,,Southampton,southampton-fc,/clubs/southampton-fc-146,/clubs/southampton-fc-146,/clubs/southampton-fc-146,/clubs/southampton-fc-146,4,"{'name': 'Promotion Play-off', 'number': 2}",0,wdwwllllwwdwdwwwdwwddwwwwdwwwwlwllww
4,142,29,28,22,14,57,63,36,21,12,6,18,3,6,9,7,10,3,37,West Bromwich Albion FC,,West Bromwich Albion,west-bromwich-albion-fc,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,/clubs/west-bromwich-albion-fc-142,5,"{'name': 'Promotion Play-off', 'number': 2}",0,lwdwldddwwldwwwlwwllwdlwwlwlwdwlwdwdw
5,159,37,29,36,18,66,58,54,12,13,4,17,2,5,7,9,13,4,37,Norwich City FC,,Norwich City,norwich-city-fc,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,/clubs/norwich-city-fc-159,6,"{'name': 'Promotion Play-off', 'number': 2}",0,wdwwlwllwldllllwwlwdwdwlldwwlwdwwdwlw
6,150,27,26,26,20,53,58,46,7,7,9,16,7,3,10,6,11,5,37,Hull City AFC,,Hull City,hull-city-afc,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,/clubs/hull-city-afc-150,7,"{'name': None, 'number': -10}",0,lwwdwddwdldlwwlwdwllwwllwllwwlwwwdddd
7,239,29,30,26,17,59,57,43,16,8,7,15,8,4,12,8,10,2,37,Coventry City FC,,Coventry City,coventry-city-fc,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,/clubs/coventry-city-fc-239,8,"{'name': None, 'number': -10}",0,lwddddldwwdlllldwwlwddwwdwwwdlwdwllww
8,161,23,20,27,22,43,53,49,-6,9,7,16,3,2,5,9,16,7,37,Cardiff City FC,,Cardiff City,cardiff-city-fc,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,/clubs/cardiff-city-fc-161,9,"{'name': None, 'number': -10}",0,dllwlwwwwldlwwdlwllwllwdlwllwllldwwww
9,210,28,20,23,31,48,53,54,-6,9,6,15,4,4,8,7,13,6,36,Preston North End FC,,Preston North End,preston-north-end-fc,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,/clubs/preston-north-end-fc-210,10,"{'name': None, 'number': -10}",0,dwwwwwwdlllddlwwllldwllwllwldwwwdwdl
