,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,7572,9663,Cameron Dawson,Cameron,Dawson,Cameron Dawson,cameron-dawson,28,183,69,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/cameron-dawson,214,-1,-1,Goalkeeper,1620,810,810,805100400,England,eu,18,9,9,0,0,0,2,2,4,28,12,16,0,0,0,0,0,-1,0.0,0.0,0.0,22,0.0,0.0,0,1.56,58,3,3,0,90,540,0,0.17,403,548,166,19,1705158000
1,746,9663,Callum Thomas Owen Paterson,Callum Thomas Owen,Paterson,Callum Paterson,callum-paterson,29,183,76,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/callum-paterson,214,-1,-1,Defender,1470,874,596,782031600,Scotland,eu,19,11,8,0,0,0,2,1,3,28,15,13,1,1,0,0,0,-1,0.06,0.06,0.0,16,0.0,0.0,0,1.71,53,6,6,0,77,245,1470,0.37,535,280,187,23,1703602800
2,9857,9663,Michael Uzoukwu Absalom Jude Ihiekwe,Michael Uzoukwu Absalom Jude,Ihiekwe,Michael Ihiekwe,michael-ihiekwe,31,186,77,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/michael-ihiekwe,214,-1,-1,Defender,1369,538,831,722246400,England,eu,18,8,10,0,0,0,3,4,7,25,6,19,1,0,1,0,0,-1,0.07,0.07,0.0,39,0.0,0.0,0,1.64,55,3,3,0,76,456,1369,0.2,455,265,175,32,1709667900
3,7420,9663,Dominic Iorfa,Dominic,Iorfa,Dominic Iorfa,dominic-iorfa,28,193,78,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/dominic-iorfa,214,-1,-1,Defender,1270,680,590,803977200,England,eu,19,11,8,0,0,0,3,2,5,20,8,12,2,0,2,0,0,-1,0.14,0.14,0.0,26,0.0,0.0,0,1.42,64,1,1,0,67,1270,635,0.07,454,135,142,31,1709667900
4,10095,9663,Akin Famewo,Akin,Famewo,Akin Famewo,akin-famewo,25,180,66,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/akin-famewo,214,-1,-1,Defender,2084,1082,1002,910598400,England,eu,27,13,14,0,0,0,2,4,6,34,15,19,0,0,0,0,0,-1,0.0,0.0,0.0,22,0.0,0.0,0,1.47,61,6,6,0,77,347,0,0.26,453,362,149,30,1709928000
5,4675,9663,Barry Ryan Bannan,Barry Ryan,Bannan,Barry Bannan,barry-bannan,34,169,61,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/scotland/barry-bannan,214,-1,-1,Midfielder,2749,1376,1373,628502400,Scotland,eu,33,16,17,1,0,1,4,5,9,45,19,26,1,0,1,0,0,-1,0.07,0.03,0.03,27,0.0,0.07,2749,1.47,61,11,10,1,83,250,2749,0.36,321,327,-1,8,1709928000
6,7414,9663,William Robert Vaulks,William,Robert Vaulks,Will Vaulks,will-vaulks,30,180,75,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/wales/will-vaulks,214,-1,-1,Midfielder,1694,824,870,747903600,Wales,eu,26,12,14,0,0,0,4,4,8,25,9,16,1,1,0,0,0,-1,0.05,0.05,0.0,31,0.0,0.0,0,1.33,68,6,6,0,65,282,1694,0.32,452,292,-1,29,1709667900
7,469245,9663,Joshua Dean Windass,Joshua Dean,Windass,Josh Windass,josh-windass,30,175,68,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/josh-windass,214,-1,-1,Midfielder,1359,635,724,758102400,England,eu,19,9,10,3,3,0,2,3,5,21,7,14,2,1,1,0,0,-1,0.33,0.13,0.2,26,0.43,0.0,453,1.39,65,5,5,0,72,272,680,0.33,138,150,-1,3,1706730300
8,10251,9663,Tyreeq Jamal Adeshina Oliveira Bakinson,Tyreeq Jamal Adeshina Oliveira,Bakinson,Tyreeq Bakinson,tyreeq-bakinson,25,190,70,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/tyreeq-bakinson,214,-1,-1,Midfielder,287,114,173,908002800,England,eu,8,3,5,0,0,0,0,1,1,6,2,4,0,0,0,0,0,-1,0.0,0.0,0.0,13,0.0,0.0,0,1.88,48,0,0,0,36,0,0,0.0,451,399,-1,28,1696359600
9,8286,9663,Lee Andrew Gregory,Lee Andrew,Gregory,Lee Gregory,lee-gregory,35,188,80,Championship,Domestic League,2023/2024,2023,2024,https://footystats.org/players/england/lee-gregory,214,-1,-1,Forward,718,363,355,588582000,England,eu,13,7,6,1,1,0,1,1,2,14,6,8,0,0,0,0,0,-1,0.13,0.0,0.13,15,0.25,0.0,718,1.75,51,2,2,0,55,359,0,0.25,198,394,-1,12,1698259500
